permid,isin,issuer_name,str_001_s,str_002_ec,str_003_ec,str_004_asec,str_005_ec,cs_001_sec,gp_esccp,cs_003_sec,cs_002_ec,str_006_sec,str_007_sect,gp_esccp_22,gp_esccp_25,gp_esccp_30,art_8_basicos,str_003b_ec,new_exclusion,exclusion_list
5050305877,US61768CBR79,Morgan Stanley Finance LLC,,,,,,,,FLAG,,,,,,,,,False,[]
4298165306,XS1242789615,BOCI Financial Products Ltd,,,,,,,,OK,,,,,,,,,False,[]
4296470941,XS1647069746,Barclays Bank PLC,EXCLUDED,EXCLUDED,EXCLUDED,EXCLUDED,EXCLUDED,EXCLUDED,,,EXCLUDED,EXCLUDED,EXCLUDED,,,,,EXCLUDED,True,"['str_001_s', 'str_002_ec', 'str_003_ec', 'str_004_asec', 'str_005_ec', 'cs_001_sec', 'cs_002_ec', 'str_006_sec', 'str_007_sect', 'str_003b_ec']"
4296420951,XS0226822376,DZ BANK AG Deutsche Zentral Genossenschaftsbank Frankfurt am Main,,,,OK,,OK,,,,,OK,,,,,,False,[]
5000804106,US90276JMG84,UBS AG (London Branch),,,,,,,,OK,,,,,,,,,False,[]
5036159086,XS1853063136,SG Issuer SA,,,,,,,,OK,,,,,,,,,False,[]
5000076412,XS1336065724,Morgan Stanley & Co International PLC,,,,FLAG,,FLAG,,FLAG,,,FLAG,,,,,,False,[]
8589934160,XS1434682081,European Bank for Reconstruction and Development,,,,OK,,OK,,,,,OK,,,,,,False,[]
5050707760,XS2069312648,Jpmorgan Chase Financial Company LLC,,,,OK,,OK,,OK,,,OK,,,,,,False,[]
4296858866,XS1686428068,BNP Paribas Issuance BV,,,,,,,,OK,,,,,,,,,False,[]
4295883019,XS1199912343,Banque Internationale a Luxembourg SA,,,,,,,,OK,,,,,,,,,False,[]
4296785143,DE000CS8DMH2,Credit Suisse Ag London Branch,,,,,,,,OK,,,,,,,,,False,[]
4297647222,XS1515011689,JP Morgan Structured Products BV,OK,,,OK,,OK,,OK,,OK,OK,,,,,,False,[]
4296859137,XS1659646324,Hongkong and Shanghai Banking Corporation Ltd,,,,,,,,OK,,,,,,,,,False,[]
4296126537,XS1428991324,Standard Chartered Bank,,,,,,OK,,,,,,,,,EXCLUDED,,True,['art_8_basicos']
4295869810,DE000SE86XD4,Societe Generale Effekten GmbH,,,,OK,,OK,,OK,,,OK,,,,,,False,[]
4298318398,XS1250040323,Volkswagen Finans Sverige AB,,,,OK,,OK,,,,,OK,,,,,,False,[]
4296555278,XS1350795883,Deutsche Bank Ag (London Branch),,,,OK,,OK,,OK,,,OK,,,,,,False,[]
4296063555,XS1668146852,Banque Federative du Credit Mutuel SA,,,,EXCLUDED,,EXCLUDED,,,,,EXCLUDED,,,,,,True,"['str_004_asec', 'cs_001_sec', 'str_007_sect']"
4297304387,FR0124772098,Caisse des Depots et Consignations,,,,OK,,OK,,,,,OK,,,,,,False,[]
5000050762,FR0123001580,Caisse Regionale de Credit Agricole Mutuel Brie Picardie,EXCLUDED,,,EXCLUDED,,EXCLUDED,,,,EXCLUDED,EXCLUDED,,,,,,True,"['str_001_s', 'str_004_asec', 'cs_001_sec', 'str_006_sec', 'str_007_sect']"
5000084509,XS1732465791,Bpce SA,,,,,,OK,,,,,,,,,,,False,[]
5001168240,XS1416558846,Mitsubishi Ufj Trust and Banking Corp (London Branch),,,,OK,,OK,,OK,,,OK,,,,,,False,[]
4296999124,XS1917357904,Korea Development Bank (London Branch),,,,EXCLUDED,,EXCLUDED,,,,,EXCLUDED,,,,,,True,"['str_004_asec', 'cs_001_sec', 'str_007_sect']"
4296416132,XS1830411424,Lloyds Bank PLC,FLAG,,FLAG,FLAG,,,,FLAG,,FLAG,FLAG,,,,FLAG,,False,[]
5000016911,FR0125087165,Natixis SA,,,,,,,,EXCLUDED,,,,,,,,,True,['cs_003_sec']
5000071547,XS1416551916,Santander Consumer Finance SA,FLAG,,FLAG,FLAG,,,,FLAG,,FLAG,FLAG,,,,FLAG,,False,[]
5000041150,FR0124822208,Electricite de France SA,,,,,,,,OK,,,,,,,,,False,[]
4297420314,XS1425420996,Santander International Products PLC,FLAG,,FLAG,FLAG,,,,FLAG,,FLAG,FLAG,,,,FLAG,,False,[]
5056409609,XS2098075133,Guotai Junan Financial Products Ltd,,,,OK,,OK,,,,,OK,,,,,,False,[]
4296543239,XS0354173030,Nederlandse Waterschapsbank NV,,,,,,,,EXCLUDED,,,,,,,,,True,['cs_003_sec']
5000700735,XS1084305678,China Construction Bank Corp (Sydney Branch),,,,,,,,OK,,,,,,,,,False,[]
4295884742,XS0353766669,Bng Bank NV,,,,,,,,EXCLUDED,,,,,,,,,True,['cs_003_sec']
5000760068,DE000CX2B6J7,Citigroup Global Markets Europe AG,,,,,,,,OK,,,,,,,,,False,[]
4295867473,FR0125918468,Veolia Environnement SA,,,,OK,,OK,,,,,OK,,,,,,False,[]
8589934264,FR0123724306,Jyske Bank A/S,,,,OK,,OK,,,,,OK,,,,,,False,[]
4296537676,XS1432614680,Instituto de Credito Oficial,,,,,,,,OK,,,,,,,,,False,[]
5055943371,XS2094259129,Single Platform Investment Repackaging Entity SA,,,,,,,,OK,,,,,,,,,False,[]
5041979720,XS1135628623,Natixis Structured Issuance SA,,,,,,,,EXCLUDED,,,,,,,,,True,['cs_003_sec']
4295866732,FR0126024076,Savencia SA,,,,OK,,OK,,,,OK,OK,,,,,,False,[]
4295868464,FR0125401689,Iliad SA,,,,OK,,OK,,OK,,,OK,,,,,,False,[]
5045856696,XS2100417372,Industrial and Commercial Bank of China Ltd (London Branch),,,,OK,,OK,,,,,OK,,,,,,False,[]
4296540381,XS2095766601,Volkswagen Financial Services AG,,,,OK,,OK,,,,,OK,,,,,,False,[]
5001433892,INE027214118,BOB Financial Solutions Ltd,,,,OK,,OK,,OK,,,OK,,,,,,False,[]
4297341136,PTB46UJM0008,Greenvolt Energias Renovaveis SA,,,,,,,,OK,,,,,,,,,False,[]
4295866806,FR0124666761,Engie SA,,,,,,OK,,OK,OK,,,,,,,,False,[]
5000062090,XS0075272335,Sumitomo Mitsui Banking Corporation of Canada,,,,,,,,OK,,,,,,,,,False,[]
5000593380,US15963TGN37,Chariot Funding LLC,,,,OK,,OK,,OK,,,OK,,,,,,False,[]
5000036007,MX0FBA070774,Banco Mercantil del Norte SA Institucion de Banca Multiple Grupo Financiero Banorte,,,,,,,,OK,,,,,,,,,False,[]
4296424232,KR3102037L38,Korea Development Bank,,,,,,,,EXCLUDED,,,,,,,,,True,['cs_003_sec']
5030787585,US63376DLF05,National Bank of Kuwait (New York Branch),,,,OK,,OK,,OK,,,OK,,,,,,False,[]
5000728392,HK0000274032,China Development Bank (Hong Kong Branch),,,,OK,,OK,,OK,,,OK,,,,,,False,[]
5000048673,DE000HW3F7M5,UniCredit Bank AG,,,,,,OK,,,,,,,,,,,False,[]
4298528922,MX0ICI090IV9,Cibanco SA Institucion de Banca Multiple,OK,,,OK,,OK,,,,OK,OK,,,,,,False,[]
4297628588,BRBBHIC03Q12,Banco BOCOM BBM SA,,,,,,,,OK,,,,,,,,,False,[]
5046279622,JP3386720001,JERA Co Inc,,,,,,,,OK,,,,,,,,,False,[]
5047643874,XS1440210455,China Construction Bank Corporation (London Branch),,,,OK,,OK,,,,,OK,,,,,,False,[]
5000588708,XS1247922310,Korea Development Bank (New York Branch),,,,,,,,EXCLUDED,,,,,,,,,True,['cs_003_sec']
4297843779,XS1127482617,Credit Agricole CIB Financial Solutions SA,,,,,,,,OK,,,,,,,,,False,[]
8589934163,XS1111100266,African Development Bank,,,,,,,,OK,,,,,,,,,False,[]
4297313816,XS1135385547,Dexia Credit Local SA,,,,,,,,OK,,,,,,,,,False,[]
5000701292,XS2151621179,Industrial and Commercial Bank of China Ltd (Sydney Branch),,,,OK,,OK,,,,,OK,,,,,,False,[]
