metric_id,metric_name,metric_category,metric_type,data_provider
100001,climate_policy,Group Policies,bool,Santander Group
100002,defense_policy,Group Policies,bool,Santander Group
100003,group_policy,Group Policies,bool,Santander Group
200001,any_critical_controversy,Controversy Metrics,boolean,Clarity.ai
200002,critical_controv_access_to_basic_services,Controversy Metrics,boolean,Clarity.ai
200003,critical_controv_accounting_and_taxation,Controversy Metrics,boolean,Clarity.ai
200004,critical_controv_animal_welfare,Controversy Metrics,boolean,Clarity.ai
200005,critical_controv_animal_welfare_sc,Controversy Metrics,boolean,Clarity.ai
200006,critical_controv_anticompetitive_practices,Controversy Metrics,boolean,Clarity.ai
200007,critical_controv_bribery_and_corruption,Controversy Metrics,boolean,Clarity.ai
200008,critical_controv_bribery_and_corruption_sc,Controversy Metrics,boolean,Clarity.ai
200009,critical_controv_business_ethics,Controversy Metrics,boolean,Clarity.ai
200010,critical_controv_business_ethics_sc,Controversy Metrics,boolean,Clarity.ai
200011,critical_controv_carbon_impact_of_products,Controversy Metrics,boolean,Clarity.ai
200012,critical_controv_community_relations,Controversy Metrics,boolean,Clarity.ai
200013,critical_controv_community_relations_sc,Controversy Metrics,boolean,Clarity.ai
200014,critical_controv_corporate_governance,Controversy Metrics,boolean,Clarity.ai
200015,critical_controv_data_privacy_and_security,Controversy Metrics,boolean,Clarity.ai
200016,critical_controv_emissions_effluents_and_waste,Controversy Metrics,boolean,Clarity.ai
200017,critical_controv_emissions_effluents_and_waste_sc,Controversy Metrics,boolean,Clarity.ai
200018,critical_controv_employees_human_rights,Controversy Metrics,boolean,Clarity.ai
200019,critical_controv_employees_human_rights_sc,Controversy Metrics,boolean,Clarity.ai
200020,critical_controv_energy_use_and_ghg_emissions,Controversy Metrics,boolean,Clarity.ai
200021,critical_controv_energy_use_and_ghg_emissions_sc,Controversy Metrics,boolean,Clarity.ai
200022,critical_controv_environmental_impact_of_products,Controversy Metrics,boolean,Clarity.ai
200023,critical_controv_intellectual_property,Controversy Metrics,boolean,Clarity.ai
