metric_id,metric_name,metric_category,metric_type,data_provider
249,esg_score_relevance,ESG Score Rating,float64,Clarity.ai
250,e_score,ESG Score Rating,float64,Clarity.ai
251,s_score,ESG Score Rating,int64,Clarity.ai
252,g_score,ESG Score Rating,int64,Clarity.ai
253,esg_rating,ESG Score Rating,string,Clarity.ai
254,sustainability_rating,ESG Score Rating,string,Clarity.ai
255,global_sustainability_rating,ESG Score Rating,string,Clarity.ai
256,controv_access_to_basic_services,Controversy Metrics,float64,Clarity.ai
257,critical_controv_access_to_basic_services,Controversy Metrics,bool,Clarity.ai
258,controv_accounting_and_taxation,Controversy Metrics,float64,Clarity.ai
259,critical_controv_accounting_and_taxation,Controversy Metrics,bool,Clarity.ai
260,controv_animal_welfare,Controversy Metrics,float64,Clarity.ai
261,critical_controv_animal_welfare,Controversy Metrics,bool,Clarity.ai
262,controv_animal_welfare_sc,Controversy Metrics,float64,Clarity.ai
263,critical_controv_animal_welfare_sc,Controversy Metrics,bool,Clarity.ai
264,controv_anticompetitive_practices,Controversy Metrics,float64,Clarity.ai
265,critical_controv_anticompetitive_practices,Controversy Metrics,bool,Clarity.ai
266,controv_bribery_and_corruption,Controversy Metrics,float64,Clarity.ai
267,critical_controv_bribery_and_corruption,Controversy Metrics,bool,Clarity.ai
268,controv_bribery_and_corruption_sc,Controversy Metrics,float64,Clarity.ai
269,critical_controv_bribery_and_corruption_sc,Controversy Metrics,bool,Clarity.ai
270,controv_business_ethics,Controversy Metrics,float64,Clarity.ai
271,critical_controv_business_ethics,Controversy Metrics,bool,Clarity.ai
272,controv_business_ethics_sc,Controversy Metrics,float64,Clarity.ai
273,critical_controv_business_ethics_sc,Controversy Metrics,bool,Clarity.ai
274,controv_carbon_impact_of_products,Controversy Metrics,float64,Clarity.ai
275,critical_controv_carbon_impact_of_products,Controversy Metrics,bool,Clarity.ai
276,controv_community_relations,Controversy Metrics,float64,Clarity.ai
277,critical_controv_community_relations,Controversy Metrics,bool,Clarity.ai
278,controv_community_relations_sc,Controversy Metrics,float64,Clarity.ai
279,critical_controv_community_relations_sc,Controversy Metrics,bool,Clarity.ai
280,controv_corporate_governance,Controversy Metrics,float64,Clarity.ai
281,critical_controv_corporate_governance,Controversy Metrics,bool,Clarity.ai
282,controv_data_privacy_and_security,Controversy Metrics,float64,Clarity.ai
283,critical_controv_data_privacy_and_security,Controversy Metrics,bool,Clarity.ai
284,controv_emissions_effluents_and_waste,Controversy Metrics,float64,Clarity.ai
285,critical_controv_emissions_effluents_and_waste,Controversy Metrics,bool,Clarity.ai
286,controv_emissions_effluents_and_waste_sc,Controversy Metrics,float64,Clarity.ai
287,critical_controv_emissions_effluents_and_waste_sc,Controversy Metrics,bool,Clarity.ai
288,controv_employees_human_rights,Controversy Metrics,float64,Clarity.ai
289,critical_controv_employees_human_rights,Controversy Metrics,bool,Clarity.ai
290,controv_employees_human_rights_sc,Controversy Metrics,float64,Clarity.ai
291,critical_controv_employees_human_rights_sc,Controversy Metrics,bool,Clarity.ai
292,controv_energy_use_and_ghg_emissions,Controversy Metrics,float64,Clarity.ai
293,critical_controv_energy_use_and_ghg_emissions,Controversy Metrics,bool,Clarity.ai
294,controv_energy_use_and_ghg_emissions_sc,Controversy Metrics,float64,Clarity.ai
295,critical_controv_energy_use_and_ghg_emissions_sc,Controversy Metrics,bool,Clarity.ai
296,controv_environmental_impact_of_products,Controversy Metrics,float64,Clarity.ai
297,critical_controv_environmental_impact_of_products,Controversy Metrics,bool,Clarity.ai
298,controv_intellectual_property,Controversy Metrics,float64,Clarity.ai
299,critical_controv_intellectual_property,Controversy Metrics,bool,Clarity.ai
300,controv_labour_relations,Controversy Metrics,float64,Clarity.ai
301,critical_controv_labour_relations,Controversy Metrics,bool,Clarity.ai
302,controv_labour_relations_sc,Controversy Metrics,float64,Clarity.ai
303,critical_controv_labour_relations_sc,Controversy Metrics,bool,Clarity.ai
304,controv_land_use_and_biodiversity,Controversy Metrics,float64,Clarity.ai
305,critical_controv_land_use_and_biodiversity,Controversy Metrics,bool,Clarity.ai
306,controv_land_use_and_biodiversity_sc,Controversy Metrics,float64,Clarity.ai
307,critical_controv_land_use_and_biodiversity_sc,Controversy Metrics,bool,Clarity.ai
308,controv_lobbying_and_public_policy,Controversy Metrics,float64,Clarity.ai
309,critical_controv_lobbying_and_public_policy,Controversy Metrics,bool,Clarity.ai
310,controv_marketing_practices,Controversy Metrics,float64,Clarity.ai
311,critical_controv_marketing_practices,Controversy Metrics,bool,Clarity.ai
312,controv_media_ethics,Controversy Metrics,float64,Clarity.ai
313,critical_controv_media_ethics,Controversy Metrics,bool,Clarity.ai
314,controv_occupational_health_and_safety,Controversy Metrics,float64,Clarity.ai
315,critical_controv_occupational_health_and_safety,Controversy Metrics,bool,Clarity.ai
316,controv_occupational_health_and_safety_sc,Controversy Metrics,float64,Clarity.ai
317,critical_controv_occupational_health_and_safety_sc,Controversy Metrics,bool,Clarity.ai
318,controv_quality_and_safety,Controversy Metrics,float64,Clarity.ai
319,critical_controv_quality_and_safety,Controversy Metrics,bool,Clarity.ai
320,controv_sanctions,Controversy Metrics,float64,Clarity.ai
321,critical_controv_sanctions,Controversy Metrics,bool,Clarity.ai
322,controv_social_impact_of_products,Controversy Metrics,float64,Clarity.ai
323,critical_controv_social_impact_of_products,Controversy Metrics,bool,Clarity.ai
324,controv_society_human_rights,Controversy Metrics,float64,Clarity.ai
325,critical_controv_society_human_rights,Controversy Metrics,bool,Clarity.ai
326,controv_society_human_rights_sc,Controversy Metrics,float64,Clarity.ai
327,critical_controv_society_human_rights_sc,Controversy Metrics,bool,Clarity.ai
328,controv_water_use,Controversy Metrics,float64,Clarity.ai
329,critical_controv_water_use,Controversy Metrics,bool,Clarity.ai
330,controv_water_use_sc,Controversy Metrics,float64,Clarity.ai
331,critical_controv_water_use_sc,Controversy Metrics,bool,Clarity.ai
332,controv_weapons,Controversy Metrics,float64,Clarity.ai
333,critical_controv_weapons,Controversy Metrics,bool,Clarity.ai
334,any_critical_controversy,Controversy Metrics,bool,Clarity.ai
335,exp_abortifacents_part,Expousure Metrics,bool,Clarity.ai
336,minexp_abortifacents_part,Expousure Metrics,float64,Clarity.ai
337,maxexp_abortifacents_part,Expousure Metrics,float64,Clarity.ai
338,exp_agrochemical_products_part,Expousure Metrics,bool,Clarity.ai
339,minexp_agrochemical_products_part,Expousure Metrics,float64,Clarity.ai
340,maxexp_agrochemical_products_part,Expousure Metrics,float64,Clarity.ai
341,exp_agrochemical_products_prod,Expousure Metrics,bool,Clarity.ai
342,minexp_agrochemical_products_prod,Expousure Metrics,float64,Clarity.ai
343,maxexp_agrochemical_products_prod,Expousure Metrics,float64,Clarity.ai
344,exp_alcohol_part,Expousure Metrics,bool,Clarity.ai
345,minexp_alcohol_part,Expousure Metrics,float64,Clarity.ai
346,maxexp_alcohol_part,Expousure Metrics,float64,Clarity.ai
347,exp_alchol_prod,Expousure Metrics,bool,Clarity.ai
348,minexp_alchol_prod,Expousure Metrics,float64,Clarity.ai
349,maxexp_alchol_prod,Expousure Metrics,float64,Clarity.ai
